name,proc_id,njss_url,address,categories,open_count,total_count,result_count
中央広域環境施設組合,8740,https://www2.njss.info/organizations/proc/8740,徳島県,地方公共団体|市役所関連団体,0,29,27
海部消防組合,8742,https://www2.njss.info/organizations/proc/8742,徳島県,地方公共団体|市役所関連団体,0,15,14
大川広域行政組合,8744,https://www2.njss.info/organizations/proc/8744,香川県,地方公共団体|市役所関連団体,0,11,2
中讃広域行政事務組合,8746,https://www2.njss.info/organizations/proc/8746,香川県,地方公共団体|市役所関連団体,0,245,237
伊予消防等事務組合,8748,https://www2.njss.info/organizations/proc/8748,愛媛県,地方公共団体|市役所関連団体,0,8,8
香南香美老人ホーム組合,8752,https://www2.njss.info/organizations/proc/8752,高知県,地方公共団体|市役所関連団体,0,2,1
高知県競馬組合,8754,https://www2.njss.info/organizations/proc/8754,高知県,地方公共団体|市役所関連団体,0,84,0
香南清掃組合,8756,https://www2.njss.info/organizations/proc/8756,高知県,地方公共団体|市役所関連団体,0,1,1
仁淀消防組合,8758,https://www2.njss.info/organizations/proc/8758,高知県,地方公共団体|市役所関連団体,0,16,16
安芸広域市町村圏事務組合,8760,https://www2.njss.info/organizations/proc/8760,高知県,地方公共団体|市役所関連団体,0,3,3
高知県市町村総合事務組合,8762,https://www2.njss.info/organizations/proc/8762,高知県,地方公共団体|市役所関連団体,0,7,0
南国・香南・香美租税債権管理機構,8764,https://www2.njss.info/organizations/proc/8764,高知県,地方公共団体|市役所関連団体,0,15,0
うきは久留米環境施設組合,8766,https://www2.njss.info/organizations/proc/8766,福岡県,地方公共団体|市役所関連団体,0,138,137
両筑衛生施設組合,8768,https://www2.njss.info/organizations/proc/8768,福岡県,地方公共団体|市役所関連団体,0,2,0
飯塚地区消防組合,8770,https://www2.njss.info/organizations/proc/8770,福岡県,地方公共団体|市役所関連団体,0,52,48
宮若市外二町じん芥処理施設組合,8772,https://www2.njss.info/organizations/proc/8772,福岡県,地方公共団体|市役所関連団体,0,0,0
筑紫野・小郡・基山清掃施設組合,8774,https://www2.njss.info/organizations/proc/8774,福岡県,地方公共団体|市役所関連団体,0,7,3
甘木・朝倉・三井環境施設組合,8776,https://www2.njss.info/organizations/proc/8776,福岡県,地方公共団体|市役所関連団体,0,76,76
有明生活環境施設組合,8778,https://www2.njss.info/organizations/proc/8778,福岡県,地方公共団体|市役所関連団体,0,9,9
春日大野城衛生施設組合,8780,https://www2.njss.info/organizations/proc/8780,福岡県,地方公共団体|市役所関連団体,0,59,59
ふくおか県央環境広域施設組合,8784,https://www2.njss.info/organizations/proc/8784,福岡県,地方公共団体|市役所関連団体,0,12,10
杵藤地区広域市町村圏組合,8786,https://www2.njss.info/organizations/proc/8786,佐賀県,地方公共団体|市役所関連団体,0,103,100
鳥栖・三養基地区消防事務組合,8788,https://www2.njss.info/organizations/proc/8788,佐賀県,地方公共団体|市役所関連団体,0,51,51
天山地区共同環境組合,8790,https://www2.njss.info/organizations/proc/8790,佐賀県,地方公共団体|市役所関連団体,0,1,1
佐賀県東部環境施設組合,8792,https://www2.njss.info/organizations/proc/8792,佐賀県,地方公共団体|市役所関連団体,0,28,28
島原地域広域市町村圏組合,8796,https://www2.njss.info/organizations/proc/8796,長崎県,地方公共団体|市役所関連団体,0,19,6
雲仙・南島原保健組合,8798,https://www2.njss.info/organizations/proc/8798,長崎県,地方公共団体|市役所関連団体,0,5,5
県央県南広域環境組合,8800,https://www2.njss.info/organizations/proc/8800,長崎県,地方公共団体|市役所関連団体,0,14,8
北松北部環境組合,8802,https://www2.njss.info/organizations/proc/8802,長崎県,地方公共団体|市役所関連団体,0,0,0
御船地区衛生施設組合,8804,https://www2.njss.info/organizations/proc/8804,熊本県,地方公共団体|市役所関連団体,0,0,0
長与・時津環境施設組合,8806,https://www2.njss.info/organizations/proc/8806,長崎県,地方公共団体|市役所関連団体,0,8,8
菊池広域連合 【［閉鎖］菊池環境保全組合】,8810,https://www2.njss.info/organizations/proc/8810,熊本県,地方公共団体|市役所関連団体,0,9,9
上天草衛生施設組合,8812,https://www2.njss.info/organizations/proc/8812,熊本県,地方公共団体|市役所関連団体,0,0,0
山鹿植木広域行政事務組合,8814,https://www2.njss.info/organizations/proc/8814,熊本県,地方公共団体|市役所関連団体,0,8,4
人吉下球磨消防組合,8816,https://www2.njss.info/organizations/proc/8816,熊本県,地方公共団体|市役所関連団体,0,23,5
上益城消防組合,8818,https://www2.njss.info/organizations/proc/8818,熊本県,地方公共団体|市役所関連団体,0,29,29
上球磨消防組合,8820,https://www2.njss.info/organizations/proc/8820,熊本県,地方公共団体|市役所関連団体,0,11,10
八代広域行政事務組合,8822,https://www2.njss.info/organizations/proc/8822,熊本県,地方公共団体|市役所関連団体,0,14,11
阿蘇広域行政事務組合,8826,https://www2.njss.info/organizations/proc/8826,熊本県,地方公共団体|市役所関連団体,0,80,78
人吉球磨広域行政組合,8828,https://www2.njss.info/organizations/proc/8828,熊本県,地方公共団体|市役所関連団体,0,1,1
大島地区衛生組合,8830,https://www2.njss.info/organizations/proc/8830,鹿児島県,地方公共団体|市役所関連団体,0,1,1
伊佐湧水消防組合,8832,https://www2.njss.info/organizations/proc/8832,鹿児島県,地方公共団体|市役所関連団体,0,6,0
島尻消防組合,8836,https://www2.njss.info/organizations/proc/8836,沖縄県,地方公共団体|市役所関連団体,0,3,0
中城北中城消防組合,8838,https://www2.njss.info/organizations/proc/8838,沖縄県,地方公共団体|市役所関連団体,0,2,2
八重山広域市町村圏事務組合,8842,https://www2.njss.info/organizations/proc/8842,沖縄県,地方公共団体|市役所関連団体,0,0,0
秦野市伊勢原市環境衛生組合,8846,https://www2.njss.info/organizations/proc/8846,神奈川県,地方公共団体|市役所関連団体,0,99,98
国土交通省(MLIT) 九州地方整備局 八代復興事務所,8848,https://www2.njss.info/organizations/proc/8848,熊本県,国・省庁|国土交通省|整備局,0,40,36
国土交通省(MLIT) 九州地方整備局 阿蘇砂防事務所,8850,https://www2.njss.info/organizations/proc/8850,熊本県,国・省庁|国土交通省|整備局,0,14,14
愛媛県市町総合事務組合,8852,https://www2.njss.info/organizations/proc/8852,愛媛県,地方公共団体|市役所関連団体,0,0,0
甘木・朝倉広域市町村圏事務組合,8854,https://www2.njss.info/organizations/proc/8854,福岡県,地方公共団体|市役所関連団体,0,25,18
大野城太宰府環境施設組合,8856,https://www2.njss.info/organizations/proc/8856,福岡県,地方公共団体|市役所関連団体,0,1,1
佐賀県西部広域環境組合,8858,https://www2.njss.info/organizations/proc/8858,佐賀県,地方公共団体|市役所関連団体,0,3,0
別杵速見地域広域市町村圏事務組合,8860,https://www2.njss.info/organizations/proc/8860,大分県,地方公共団体|市役所関連団体,0,3,3
杵築速見消防組合,8862,https://www2.njss.info/organizations/proc/8862,大分県,地方公共団体|市役所関連団体,0,2,1
玖珠九重行政事務組合,8864,https://www2.njss.info/organizations/proc/8864,大分県,地方公共団体|市役所関連団体,0,0,0
宇佐・高田・国東広域事務組合,8866,https://www2.njss.info/organizations/proc/8866,大分県,地方公共団体|市役所関連団体,0,13,12
西臼杵広域行政事務組合,8868,https://www2.njss.info/organizations/proc/8868,宮崎県,地方公共団体|市役所関連団体,0,2,0
宮崎県東児湯消防組合,8870,https://www2.njss.info/organizations/proc/8870,宮崎県,地方公共団体|市役所関連団体,0,1,0
西諸広域行政事務組合,8872,https://www2.njss.info/organizations/proc/8872,宮崎県,地方公共団体|市役所関連団体,0,13,11
南薩地区衛生管理組合,8876,https://www2.njss.info/organizations/proc/8876,鹿児島県,地方公共団体|市役所関連団体,0,3,1
指宿広域市町村圏組合,8878,https://www2.njss.info/organizations/proc/8878,鹿児島県,地方公共団体|市役所関連団体,0,42,39
熊毛地区消防組合,8882,https://www2.njss.info/organizations/proc/8882,鹿児島県,地方公共団体|市役所関連団体,0,3,1
倉浜衛生施設組合,8884,https://www2.njss.info/organizations/proc/8884,沖縄県,地方公共団体|市役所関連団体,0,45,39
長野県後期高齢者医療広域連合,8886,https://www2.njss.info/organizations/proc/8886,長野県,地方公共団体|市役所関連団体,0,1,0
松本広域連合,8888,https://www2.njss.info/organizations/proc/8888,長野県,地方公共団体|市役所関連団体,0,17,5
知多北部広域連合,8890,https://www2.njss.info/organizations/proc/8890,愛知県,地方公共団体|市役所関連団体,0,0,0
香肌奥伊勢資源化広域連合,8892,https://www2.njss.info/organizations/proc/8892,三重県,地方公共団体|市役所関連団体,0,0,0
鈴鹿亀山地区広域連合,8896,https://www2.njss.info/organizations/proc/8896,三重県,地方公共団体|市役所関連団体,0,9,9
桜井宇陀広域連合,8898,https://www2.njss.info/organizations/proc/8898,奈良県,地方公共団体|市役所関連団体,0,1,0
